,,Search Results (2016-03-14),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Tag Number,Product,Zone,Inbound Account,Inbound Load Date,Inbound Gross Weight,Inbound Tare,Inbound Net Weight,Inbound Price Per LB,Inbound Price,Inbound Unit Count,Inbound Price Per Unit,Outbound Account,Outbound Load Date,Outbound Gross Weight,Outbound Tare,Outbound Net Weight,Outbound Price Per LB,Outbound Price,Outbound Unit Count,Outbound Price Per Unit,Comments
,,,,,,,,,,,,,,,,,,,,,,
,10420160001,Steel,,PRC Industries,"January 04, 2016",373,35,338,0,0,,,Smart Metals Recycling,"January 04, 2016",373,35,338,,0,,,
,10420160002,Irony Aluminum,,PRC Industries,"January 04, 2016",201,55,146,0.01,1.46,,,L. Gordon Iron & Metal,"January 04, 2016",201,55,146,0.18,26.28,,,
,10420160003,Irony Aluminum,,PRC Industries,"January 04, 2016",315,55,260,0.01,2.6,,,L. Gordon Iron & Metal,"January 04, 2016",315,55,260,0.18,46.8,,,
,10420160004,Irony Aluminum,,PRC Industries,"January 04, 2016",531,55,476,0.01,4.76,,,L. Gordon Iron & Metal,"January 04, 2016",531,55,476,0.18,85.68,,,
,10420160005,Steel,,PRC Industries,"January 04, 2016",381,35,346,0,0,,,Smart Metals Recycling,"January 04, 2016",381,35,346,,0,,,
,10420160006,Steel,,PRC Industries,"January 04, 2016",505,55,450,0,0,,,Smart Metals Recycling,"January 04, 2016",505,55,450,,0,,,
,10420160007,Steel,,PRC Industries,"January 04, 2016",393,35,358,0,0,,,Smart Metals Recycling,"January 04, 2016",393,35,358,,0,,,
,10420160008,Steel,,PRC Industries,"January 04, 2016",292,35,257,0,0,,,Smart Metals Recycling,"January 04, 2016",292,35,257,,0,,,
,10420160009,Steel,,PRC Industries,"January 04, 2016",877,75,802,0,0,,,Smart Metals Recycling,"January 04, 2016",877,75,802,,0,,,
,10420160010,Computer Towers (Incomplete),,Smart Metals Recycling,"January 04, 2016",880,35,845,,0,,,,,880,35,845,,0,,,
,10420160011,Steel,,PRC Industries,"January 04, 2016",433,60,373,0,0,,,Smart Metals Recycling,"January 04, 2016",433,60,373,,0,,,
,10420160012,Steel,,PRC Industries,"January 04, 2016",378,35,343,0,0,,,Smart Metals Recycling,"January 04, 2016",378,35,343,,0,,,
,10420160013,Steel,,PRC Industries,"January 04, 2016",1306,55,1251,0,0,,,Smart Metals Recycling,"January 04, 2016",1306,55,1251,,0,,,
,10420160014,Stainless Steel,,PRC Industries,"January 04, 2016",577,55,522,0.01,5.22,,,L. Gordon Iron & Metal,"January 04, 2016",577,55,522,0.32,167.04,,,
,10420160015,Steel,,PRC Industries,"January 04, 2016",353,55,298,0,0,,,Smart Metals Recycling,"January 04, 2016",353,55,298,,0,,,
,10420160016,Steel,,PRC Industries,"January 04, 2016",295,35,260,0,0,,,Smart Metals Recycling,"January 04, 2016",295,35,260,,0,,,
,10420160017,Steel,,PRC Industries,"January 04, 2016",392,35,357,0,0,,,Smart Metals Recycling,"January 04, 2016",392,35,357,,0,,,
,10420160018,Steel,,PRC Industries,"January 04, 2016",383,35,348,0,0,,,Smart Metals Recycling,"January 04, 2016",383,35,348,,0,,,
,10420160019,Steel,,PRC Industries,"January 04, 2016",390,35,355,0,0,,,Smart Metals Recycling,"January 04, 2016",390,35,355,,0,,,
